iter	RMSE
0	0.521089789
1	0.513982257
2	0.5074084516
3	0.5057444033
4	0.5029281183
5	0.4968390642
6	0.4912380221
7	0.4858783192
8	0.4810038962
9	0.4776666984
10	0.4764282722
11	0.4712690534
12	0.466935827
13	0.4620225765
14	0.4585778894
15	0.4573821011
16	0.4530796604
17	0.4485340528
18	0.4443358801
19	0.4403886395
20	0.4366691918
21	0.4330733712
22	0.430625223
23	0.4275042447
24	0.4245063757
25	0.4216578026
26	0.4189716864
27	0.4162436243
28	0.414068582
29	0.4113381687
30	0.4113380963
31	0.4086409927
32	0.4063940153
33	0.4045948767
34	0.4025033532
35	0.4004477237
36	0.3982834349
37	0.398283433
38	0.39623143
39	0.3947678405
40	0.3930081541
41	0.391561666
42	0.3898615196
43	0.3876343489
44	0.3829240315
45	0.3811884124
46	0.3797711656
47	0.3782612894
48	0.3782606413
49	0.374039309
50	0.3694256541
51	0.3680240922
52	0.3668078208
53	0.3655076775
54	0.3644582118
55	0.3637141093
56	0.3636197171
57	0.3629657427
58	0.3621520348
59	0.3612974307
60	0.3606802243
61	0.359851324
62	0.3591708019
63	0.358551629
64	0.3546979684
65	0.3541501502
66	0.3529886983
67	0.3523894923
68	0.3487957602
69	0.3483689255
70	0.3479255991
71	0.3474956535
72	0.3468719255
73	0.3461428683
74	0.3456374748
75	0.3447639008
76	0.3441275254
77	0.3407156848
78	0.3380087208
79	0.3374578173
80	0.3367137256
81	0.3338012235
82	0.3331138118
83	0.3302302124
84	0.3275752281
85	0.3245837125
86	0.3238725885
87	0.3231811255
88	0.320550721
89	0.3202852357
90	0.3180767352
91	0.3157028872
92	0.3135193391
93	0.3115587674
94	0.3110400825
95	0.3094727282
96	0.3073847595
97	0.3068877553
98	0.3066934588
99	0.3047493489
100	0.3032109708
101	0.3020988851
102	0.3003897192
103	0.2989550852
104	0.2972660707
105	0.2961257993
106	0.2945400488
107	0.2941048154
108	0.2926170606
109	0.2914430424
110	0.2901948322
111	0.2889609729
112	0.287597948
113	0.2863519566
114	0.2853354524
115	0.2843963385
116	0.2833907284
117	0.2830843774
118	0.2826365578
119	0.2817572173
120	0.2808695738
121	0.279889832
122	0.2791675862
123	0.2783019231
124	0.2779797463
125	0.2771690418
126	0.2763722134
127	0.2757750342
128	0.2751403727
129	0.2747119073
130	0.2740737536
131	0.2735220554
132	0.2730434344
133	0.2723480868
134	0.2716917767
135	0.2712968486
136	0.2707644306
137	0.2703986964
138	0.2698983171
139	0.2695942046
140	0.2690496015
141	0.2685785488
142	0.2679569962
143	0.2675568663
144	0.2671436056
145	0.2666538948
146	0.2663144339
147	0.2658177899
148	0.2653487255
149	0.2647653144
150	0.2643632071
151	0.2639272879
152	0.2634940629
153	0.2632445545
154	0.2628249728
155	0.2624201948
156	0.2619745459
157	0.261568029
158	0.2612480376
159	0.2609600827
