iter	Passed	Remaining
0	17	17604
1	76	38277
2	142	47376
3	203	50600
4	266	53052
5	327	54191
6	399	56617
7	466	57789
8	533	58753
9	597	59136
10	619	55693
11	680	56012
12	746	56652
13	813	57306
14	873	57355
15	913	56201
16	992	57366
17	1089	59435
18	1169	60374
19	1242	60884
20	1321	61598
21	1404	62423
22	1483	63011
23	1554	63231
24	1634	63731
25	1700	63691
26	1769	63765
27	1835	63703
28	1907	63875
29	1974	63835
30	2000	62535
31	2061	62348
32	2128	62383
33	2194	62349
34	2265	62470
35	2329	62375
36	2403	62561
37	2422	61338
38	2487	61282
39	2527	60650
40	2596	60723
41	2662	60722
42	2735	60882
43	2803	60903
44	2858	60655
45	2926	60701
46	2997	60770
47	3062	60734
48	3085	59877
49	3102	58947
50	3165	58911
51	3236	59000
52	3303	59024
53	3380	59224
54	3446	59218
55	3512	59214
56	3535	58488
57	3579	58129
58	3643	58109
59	3715	58211
60	3784	58250
61	3863	58453
62	3941	58621
63	4030	58950
64	4097	58939
65	4170	59021
66	4243	59098
67	4337	59453
68	4416	59584
69	4450	59123
70	4504	58934
71	4528	58365
72	4588	58265
73	4655	58257
74	4682	57745
75	4742	57653
76	4810	57663
77	4880	57687
78	4903	57170
79	4965	57101
80	5030	57072
81	5099	57088
82	5170	57121
83	5235	57090
84	5307	57135
85	5375	57132
86	5444	57137
87	5508	57091
88	5578	57101
89	5603	56658
90	5626	56206
91	5700	56260
92	5764	56218
93	5845	56343
94	5928	56472
95	5996	56467
96	6065	56461
97	6093	56086
98	6165	56111
99	6242	56186
100	6321	56265
101	6399	56339
102	6473	56375
103	6558	56507
104	6624	56469
105	6670	56257
106	6733	56196
107	6763	55861
108	6824	55785
109	6898	55811
110	6956	55717
111	7038	55804
112	7109	55808
113	7178	55792
114	7267	55928
115	7335	55902
116	7403	55872
117	7440	55615
118	7507	55580
119	7573	55537
120	7624	55385
121	7690	55345
122	7762	55347
123	7825	55286
124	7882	55176
125	7949	55142
126	8018	55118
127	8085	55083
128	8154	55056
129	8222	55030
130	8297	55039
131	8359	54972
132	8426	54932
133	8501	54941
134	8564	54876
135	8634	54856
136	8703	54824
137	8775	54816
138	8843	54779
139	8919	54788
140	8987	54755
141	9060	54746
142	9135	54747
143	9198	54681
144	9223	54383
145	9286	54319
146	9359	54309
147	9424	54257
148	9497	54244
149	9562	54189
150	9633	54162
151	9724	54254
152	9794	54221
153	9875	54252
154	9950	54244
155	10019	54209
156	10087	54164
157	10160	54146
158	10249	54213
159	10283	53986
160	10349	53931
161	10422	53914
162	10501	53924
163	10570	53885
164	10639	53840
165	10725	53887
166	10801	53876
167	10873	53849
168	10940	53797
169	10981	53615
170	11039	53517
171	11117	53519
172	11202	53549
173	11269	53498
174	11351	53513
175	11430	53513
176	11498	53464
177	11552	53349
178	11617	53286
179	11697	53287
180	11773	53272
181	11855	53283
182	11923	53233
183	11998	53208
184	12081	53224
185	12155	53197
186	12229	53167
187	12311	53174
188	12384	53143
189	12484	53224
190	12553	53171
191	12616	53095
192	12689	53060
193	12754	52988
194	12809	52881
195	12873	52808
196	12945	52767
197	12975	52557
198	13042	52496
199	13111	52445
200	13178	52385
201	13247	52333
202	13318	52288
203	13383	52222
204	13452	52170
205	13521	52115
206	13596	52085
207	13665	52034
208	13733	51977
209	13816	51978
210	13905	51995
211	13991	52007
212	14085	52042
213	14170	52046
214	14261	52071
215	14350	52086
216	14436	52091
217	14525	52106
218	14606	52089
219	14688	52077
220	14769	52062
221	14856	52063
222	14936	52042
223	15018	52029
224	15105	52028
225	15190	52025
226	15273	52011
227	15352	51981
228	15432	51958
229	15510	51924
230	15585	51883
231	15664	51854
232	15745	51831
233	15833	51831
234	15924	51840
235	16030	51894
236	16103	51843
237	16202	51876
238	16285	51854
239	16362	51815
240	16429	51744
241	16511	51718
242	16584	51665
243	16665	51636
244	16737	51578
245	16816	51544
246	16898	51516
247	16970	51459
248	17042	51402
249	17123	51369
250	17199	51323
251	17273	51271
252	17353	51237
253	17422	51170
254	17493	51107
255	17561	51036
256	17632	50975
257	17704	50916
258	17774	50853
259	17850	50804
260	17916	50728
261	17987	50667
262	18053	50591
263	18124	50530
264	18195	50467
265	18262	50394
266	18330	50324
267	18398	50253
268	18468	50187
269	18571	50211
270	18645	50157
271	18725	50119
272	18804	50076
273	18881	50028
274	18963	49995
275	19035	49934
276	19109	49876
277	19197	49857
278	19267	49792
279	19347	49750
280	19418	49685
281	19486	49613
282	19571	49585
283	19650	49542
284	19737	49516
285	19823	49490
286	19891	49416
287	19973	49378
288	20051	49330
289	20128	49279
290	20209	49237
291	20279	49170
292	20358	49124
293	20427	49053
294	20492	48973
295	20560	48899
296	20628	48827
297	20701	48765
298	20774	48705
299	20839	48624
300	20913	48565
301	20983	48497
302	21051	48425
303	21115	48344
304	21188	48281
305	21248	48192
306	21321	48129
307	21381	48039
308	21451	47971
309	21525	47911
310	21588	47828
311	21673	47792
312	21752	47744
313	21838	47710
314	21923	47675
315	21995	47611
316	22071	47555
317	22152	47509
318	22238	47474
319	22309	47407
320	22380	47341
321	22445	47260
322	22519	47201
323	22587	47126
324	22666	47075
325	22733	47001
326	22811	46947
327	22894	46905
328	22963	46833
329	23031	46761
330	23105	46699
331	23182	46644
